1	2	3	4
2781	2724	2878	2833
2694	2694	2751	2782
2607	2645	2748	2765
2583	2597	2560	2732
2542	2555	2546	2655
2535	2428	2527	2637
1	1	1	1
1	1	1	1
2286	2354	2523	2592
2225	2317	2518	2557
2177	2304	2505	2465
2175	2274	2504	2321
2140	2173	2463	2313
2137	2159	2334	2312
1	1	1	1
1	1	1	1
2636	2156	2295	2251
2589	2145	2276	2243
2535	2138	2214	2222
2444	2138	2123	2185
2323	2133	2062	2164
2291	2108	2061	2135
1	1	1	1
1	1	1	1
2573	2540	2048	2112
2537	2521	2047	2112
2515	2474	1978	2101
2380	2331	1897	2093
2314	2309	1875	1959
2325	2470	1831	1900
1	1	1	1
1	1	1	1
2212	2105	2586	2587
2250	2097	2574	2578
2258	2076	2177	2183
2211	2043	1915	2004
2196	2029	1891	1901
2194	2524	1859	1867
1	1	1	1
1	1	1	1
0	2137	0	0
0	1906	0	0
0	1890	0	0
0	1852	0	0
0	1781	0	0
0	1764	0	0
0	1	0	0
0	1	0	0
0	0	0	0
